Model,No_of_new_rxns,No_of_rxns_with_ec_numbers_from_clean
Bacillus_licheniformis_5NAP23,339,101
Bacillus_licheniformis_ATCC_14580,389,107
Bacillus_licheniformis_HRBL_15TDI7,322,99
Bacillus_massilioanorexius_AP8,390,107
Bacillus_massiliosenegalensis_JC6,410,108
Bacillus_megaterium_DSM319,417,105
Bacillus_megaterium_NBRC_15308_ATCC_14581,356,110
Bacillus_megaterium_NCT_2,373,107
Bacillus_megaterium_QM_B1551,378,111
Bacillus_megaterium_SF185,365,109
Bacillus_megaterium_WSH_002,375,100
Bacillus_mojavensis_RO_H_1,384,91
Bacillus_mycoides_AH603,394,85
Bacillus_mycoides_AH621,427,83
Bacillus_mycoides_BHP,322,88
Bacillus_mycoides_BtB2_4,352,79
Bacillus_mycoides_CER057,440,88
Bacillus_mycoides_CER074,448,90
Bacillus_mycoides_DSM_2048,366,79
Bacillus_mycoides_VD078,445,90
Bacillus_mycoides_VDM019,413,86
Bacillus_mycoides_VDM022,452,86
Bacillus_nealsonii_AAU1,435,101
Bacillus_paralicheniformis_ATCC_9945a,337,104
Bacillus_pseudofirmus_OF4,411,99
Bacillus_pseudomycoides_219298,312,94
Bacillus_pseudomycoides_Rock1_4,343,91
